De / Het,Dutch,English,,Source,Level
het,Spaans,the,Spanish,(language),
het,Portugees,the,Portuguese,(language),
het,Chinees,the,Chinese,(language),
het,Russisch,the,Russian,(language),
***,Communication,Communication,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/54/),
de,bevestiging,the,confirmation,,
de,website,the,website,,
het,profiel,the,profile,,
het,wachtwoord,the,password,,
de,zoekmachine,the,search,engine,
de,uitzending,the,broadcast,,
de,discussie,the,discussion,,
de,dialoog,the,dialog,,
het,bestand,the,file,,
de,media,the,media,,
het,netnummer,the,area,code,
de,toespraak,the,speech,,
de,kabel,the,cable,,
de,omroep,the,broadcaster,,
de,luidspreker,the,speaker,,
***,Communication,Communication,IV,(/course/356041/dutch-duolingo-de-or-het-vocabulary/55/),
de,groet,the,greeting,,
het,contact,the,contact,,
de,uitnodiging,the,invitation,,
***,Arts,Arts,(/course/356041/dutch-duolingo-de-or-het-vocabulary/56/),,
de,viool,the,violin,,
het,geluid,the,sound,,
de,dwarsfluit,the,flute,,
het,instrument,the,instrument,,
de,muziek,the,music,,
de,noot,the,note,,
het,akkoord,the,chord,,
de,film,the,movie,,
de,camera,the,camera,,
de,afbeelding,the,image,,
de,fotografie,the,photography,,
de,foto,the,photo,,
de,hobby,the,hobby,,
de,mode,the,fashion,,
de,dans,the,dance,,
***,Arts,Arts,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/57/),
de,literatuur,the,literature,,
het,theater,the,theater,,
de,poëzie,the,poetry,,
de,stijl,the,style,,
de,collectie,the,collection,,
de,opening,the,opening,,
de,band,the,band,,
het,concert,the,concert,,
het,lied,the,song,,
het,festival,the,festival,,
de,Gouden,Gouden,Eeuw	the,Golden,Age
de,schilder,the,painter,,
het,schilderij,the,painting,,
de,verf,the,paint,,
het,penseel,the,paintbrush,,
het,doek,the,canvas,,
***,Sports,Sports,(/course/356041/dutch-duolingo-de-or-het-vocabulary/58/),,
de,bal,the,ball,,
het,spel,the,game,,
de,wandeling,the,walk,,
de,sport,the,sports,,
de,ploeg,the,team,,
de,speler,the,player,,
het,doel,the,goal,,
het,punt,the,point,,
het,voetbal,the,soccer,,
het,basketbal,the,basketball,(sport),
het,tennis,the,tennis,,
het,korfbal,the,korfball,,
het,racket,the,racquet,,
het,volleybal,the,volleyball,(sport),
de,coach,the,coach,,
***,Sports,Sports,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/59/),
